E, l0, l1, l2, l3, l4, l5, l6
0.258644, 2.657492, -2.327808, -1.312270, 2.543082, 2.927643, 2.954592, -1.836295
0.259830, 2.648269, -2.336587, -1.320151, 2.536744, 2.923708, 2.953119, -1.807140
0.261017, 2.639079, -2.345331, -1.328000, 2.530408, 2.919756, 2.951645, -1.777929
0.262203, 2.629920, -2.354040, -1.335815, 2.524078, 2.915785, 2.950172, -1.748714
0.263390, 2.620789, -2.362717, -1.343598, 2.517755, 2.911793, 2.948699, -1.719547
0.264576, 2.611684, -2.371363, -1.351347, 2.511442, 2.907779, 2.947229, -1.690483
0.265763, 2.602603, -2.379981, -1.359063, 2.505141, 2.903743, 2.945760, -1.661575
0.266949, 2.593544, -2.388572, -1.366748, 2.498855, 2.899685, 2.944292, -1.632878
0.268135, 2.584504, -2.397140, -1.374402, -0.649008, 2.895604, 2.942824, -1.604443
0.269322, 2.575482, -2.405687, -1.382027, -0.655260, 2.891501, 2.941357, -1.576320
0.270508, 2.566475, -2.414214, -1.389625, -0.661492, 2.887377, 2.939887, -1.548558
0.271695, 2.557481, -2.422725, -1.397196, -0.667703, 2.883233, 2.938413, -1.521200
0.272881, 2.548500, -2.431221, -1.404744, -0.673891, 2.879071, 2.936933, -1.494287
0.274068, 2.539530, -2.439704, -1.412270, -0.680056, 2.874892, 2.935445, -1.467855
0.275254, 2.530569, -2.448176, -1.419777, -0.686197, 2.870699, 2.933946, -1.441936
0.276441, 2.521618, -2.456639, -1.427266, -0.692314, 2.866493, 2.932435, -1.416557
0.277627, 2.512676, -2.465093, -1.434741, -0.698408, 2.862277, 2.930908, -1.391740
0.278813, 2.503743, -2.473541, -1.442204, -0.704479, 2.858053, 2.929362, -1.367503
0.280000, 2.494819, -2.481982, -1.449656, -0.710527, 2.853825, 2.927796, -1.343859
0.281186, 2.485904, -2.490418, -1.457100, -0.716554, 2.849594, 2.926207, -1.320815
0.282373, 2.476999, -2.498849, -1.464538, -0.722561, 2.845364, 2.924593, -1.298377
0.283559, 2.468106, -2.507273, -1.471972, -0.728550, 2.841137, 2.922952, -1.276544
0.284746, 2.459225, -2.515693, -1.479403, -0.734523, -0.304678, 2.921283, -1.255313
0.285932, 2.450358, -2.524105, -1.486833, -0.740481, -0.308893, 2.919584, -1.234679
0.287118, 2.441506, -2.532510, -1.494263, -0.746428, -0.313098, 2.917854, -1.214633
0.288305, 2.432671, -2.540907, -1.501693, -0.752365, -0.317292, 2.916093, -1.195165
0.289491, 2.423856, -2.549294, -1.509124, -0.758294, -0.321474, 2.914301, -1.176261
0.290678, 2.415062, -2.557669, -1.516556, -0.764218, -0.325641, 2.912478, -1.157909
0.291864, 2.406290, -2.566031, -1.523990, -0.770140, -0.329794, 2.910624, -1.140094
0.293051, 2.397544, -2.574377, -1.531424, -0.776062, -0.333932, 2.908740, 2.018791
0.294237, 2.388825, -2.582707, -1.538858, -0.781985, -0.338054, 2.906829, 2.035577
0.295424, 2.380136, -2.591017, -1.546292, -0.787912, -0.342162, 2.904891, 2.051871
0.296610, -0.770116, -2.599305, -1.553723, -0.793844, -0.346254, 2.902928, 2.067688
0.297796, -0.778742, -2.607570, -1.561150, -0.799784, -0.350334, 2.900944, 2.083043
0.298983, -0.787334, -2.615810, -1.568572, -0.805732, -0.354401, 2.898939, 2.097949
0.300169, -0.795891, 0.517571, -1.575987, -0.811689, -0.358457, 2.896918, 2.112419
0.301356, -0.804410, 0.509388, -1.583392, -0.817657, -0.362504, 2.894882, 2.126466
0.302542, -0.812893, 0.501236, -1.590786, -0.823635, -0.366544, 2.892835, 2.140102
0.303729, -0.821337, 0.493117, -1.598166, -0.829623, -0.370579, 2.890780, 2.153336
0.304915, -0.829743, 0.485032, -1.605530, -0.835622, -0.374612, 2.888719, 2.166180
0.306102, -0.838110, 0.476981, -1.612877, -0.841631, -0.378645, 2.886655, 2.178642
0.307288, -0.846439, 0.468967, -1.620202, -0.847649, -0.382680, -0.257003, 2.190731
0.308474, -0.854731, 0.460988, 1.514087, -0.853674, -0.386721, -0.259065, 2.202456
0.309661, -0.862985, 0.453046, 1.506809, -0.859706, -0.390769, -0.261123, 2.213824
