E, l0, l1, l2, l3, l4, l5, l6
0.297796, -0.620602, 0.659139, 1.636577, 2.289989, -0.560112, -1.024056, 0.356068
0.298983, -0.628169, 0.652043, 1.630450, 2.285235, -0.563009, -1.017479, 0.360422
0.300169, -0.635724, 0.644954, 1.624330, 2.280494, -0.565913, -1.011086, 0.364833
0.301356, -0.643268, 0.637873, 1.618216, 2.275766, -0.568822, -1.004872, 0.369299
0.302542, -0.650798, 0.630800, 1.612107, 2.271050, -0.571735, -0.998834, 0.373819
0.303729, -0.658315, 0.623735, 1.606001, 2.266344, -0.574651, -0.992967, 0.378394
0.304915, -0.665818, 0.616679, 1.599900, 2.261649, -0.577568, -0.987269, 0.383021
0.306102, -0.673305, 0.609632, 1.593801, 2.256963, -0.580484, -0.981735, 0.387700
0.307288, -0.680777, 0.602594, 1.587705, 2.252284, -0.583400, -0.976363, 0.392429
0.308474, -0.688232, 0.595567, 1.581611, 2.247613, -0.586313, -0.971150, 0.397208
0.309661, -0.695669, 0.588551, 1.575519, 2.242947, 2.552369, -0.966093, 0.402034
0.310847, -0.703088, 0.581547, 1.569429, 2.238286, 2.549463, -0.961189, 0.406907
0.312034, -0.710487, 0.574555, 1.563342, 2.233629, 2.546563, -0.956436, 0.411825
0.313220, -0.717866, 0.567577, 1.557257, 2.228974, 2.543668, -0.951830, 0.416789
0.314407, -0.725223, 0.560614, 1.551174, 2.224320, 2.540779, -0.947369, 0.421796
0.315593, -0.732558, 0.553667, 1.545094, 2.219666, 2.537897, -0.943050, 0.426846
0.316779, -0.739870, 0.546736, 1.539018, 2.215011, 2.535022, -0.938870, 0.431939
0.317966, 2.394435, 0.539823, 1.532947, 2.210355, 2.532153, -0.934826, 0.437073
0.319152, 2.387171, 0.532928, 1.526880, 2.205696, 2.529292, -0.930915, 0.442250
0.320339, 2.379932, 0.526053, 1.520820, 2.201034, 2.526438, -0.927134, 0.447469
0.321525, 2.372718, 0.519198, 1.514766, 2.196368, 2.523590, -0.923479, 0.452730
0.322712, 2.365530, -2.629229, 1.508720, 2.191697, 2.520748, -0.919948, 0.458034
0.323898, 2.358368, -2.636041, 1.502682, 2.187022, 2.517911, -0.916536, 0.463381
0.325085, 2.351232, -2.642832, 1.496654, 2.182342, 2.515079, -0.913241, 0.468773
0.326271, 2.344121, -2.649599, 1.490637, 2.177657, 2.512251, -0.910057, 0.474211
0.327457, 2.337037, -2.656343, 1.484632, 2.172966, 2.509426, -0.906983, 0.479695
0.328644, 2.329979, -2.663063, 1.478640, 2.168271, 2.506603, -0.904013, 0.485228
0.329830, 2.322946, -2.669759, 1.472662, 2.163571, 2.503780, -0.901144, 0.490810
0.331017, 2.315938, -2.676432, 1.466698, 2.158867, 2.500957, -0.898372, 0.496445
0.332203, 2.308955, -2.683080, 1.460750, 2.154159, 2.498133, -0.895694, 0.502133
0.333390, 2.301996, -2.689705, -1.686774, 2.149448, 2.495306, -0.893104, 0.507877
0.334576, 2.295059, -2.696306, -1.692687, 2.144735, 2.492475, -0.890601, 0.513679
0.335763, 2.288145, -2.702884, -1.698583, 2.140021, 2.489639, -0.888179, 0.519540
0.336949, 2.281253, -2.709439, -1.704460, 2.135305, 2.486797, -0.885836, 0.525464
0.338135, 2.274380, -2.715972, -1.710318, 2.130590, 2.483947, -0.883567, 0.531450
0.339322, 2.267528, -2.722483, -1.716156, 2.125877, 2.481090, -0.881370, 0.537502
0.340508, 2.260693, -2.728973, -1.721974, 2.121166, 2.478223, -0.879240, 0.543622
0.341695, 2.253876, -2.735444, -1.727773, 2.116459, 2.475346, 2.264417, -2.591783
0.342881, 2.247075, -2.741896, -1.733551, 2.111757, 2.472458, 2.266419, -2.585524
0.344068, 2.240289, -2.748330, -1.739309, 2.107060, 2.469558, 2.268362, -2.579194
0.345254, 2.233516, -2.754747, -1.745047, 2.102371, 2.466647, 2.270248, -2.572791
0.346440, 2.226757, -2.761148, -1.750766, 2.097690, 2.463724, 2.272080, -2.566316
0.347627, 2.220009, -2.767534, -1.756465, 2.093018, 2.460787, 2.273859, -2.559766
0.348813, 2.213271, -2.773907, -1.762146, 2.088357, 2.457838, 2.275587, -2.553142
0.350000, 2.206543, -2.780267, -1.767809, -1.057886, 2.454877, 2.277266, -2.546444
