y00,y01,y02,y03,y04,y05,y06,y10,y11,y12,y13,y14,y15,y16,y20,y21,y22,y23,y24,y25,y26,y30,y31,y32,y33,y34,y35,y36
0.091466984,0.111745826,0.124625399,0.134276221,0.142067087,0.148630119,0.154313456,0.004555632,0.007192366,0.009500438,0.011618280,0.013603337,0.015487066,0.017289240,0.000175755,0.000328458,0.000492164,0.000665684,0.000847681,0.001037088,0.001233068,0.000005731,0.000012147,0.000020126,0.000029600,0.000040498,0.000052760,0.000066333
0.092960725,0.113561404,0.126639804,0.136435357,0.144339560,0.150995058,0.156755807,0.004705932,0.007429291,0.009812910,0.011999816,0.014049366,0.015994069,0.017854357,0.000184530,0.000344845,0.000516699,0.000698845,0.000889878,0.001088675,0.001294357,0.000006115,0.000012962,0.000021476,0.000031585,0.000043212,0.000056294,0.000070775
0.094454188,0.115376187,0.128652817,0.138592447,0.146609291,0.153356525,0.159193926,0.004858657,0.007670015,0.010130360,0.012387391,0.014502411,0.016508993,0.018428246,0.000193592,0.000361766,0.000542034,0.000733084,0.000933442,0.001141931,0.001357627,0.000006519,0.000013817,0.000022893,0.000033668,0.000046061,0.000060003,0.000075435
0.095947368,0.117190163,0.130664415,0.140747458,0.148876237,0.155714465,0.161627748,0.005013806,0.007914534,0.010452783,0.012780998,0.014962458,0.017031824,0.019010887,0.000202945,0.000379230,0.000568179,0.000768418,0.000978397,0.001196883,0.001422906,0.000006943,0.000014714,0.000024378,0.000035851,0.000049047,0.000063891,0.000080321
0.097440261,0.119003320,0.132674576,0.142900359,0.151140355,0.158068824,0.164057206,0.005171378,0.008162847,0.010780174,0.013180628,0.015429498,0.017562545,0.019602259,0.000212593,0.000397245,0.000595149,0.000804862,0.001024762,0.001253555,0.001490226,0.000007386,0.000015654,0.000025935,0.000038139,0.000052175,0.000067965,0.000085440
0.098932861,0.120815644,0.134683279,0.145051117,0.153401602,0.160419548,0.166482235,0.005331372,0.008414951,0.011112528,0.013586273,0.015903517,0.018101141,0.020202342,0.000222542,0.000415821,0.000622954,0.000842434,0.001072559,0.001311974,0.001559616,0.000007851,0.000016638,0.000027565,0.000040535,0.000055451,0.000072229,0.000090798
0.100425166,0.122627123,0.136690500,0.147199700,0.155659935,0.162766584,0.168902770,0.005493787,0.008670842,0.011449839,0.013997926,0.016384504,0.018647596,0.020811115,0.000232797,0.000434964,0.000651609,0.000881150,0.001121809,0.001372165,0.001631106,0.000008337,0.000017668,0.000029270,0.000043041,0.000058878,0.000076691,0.000096404
0.101917169,0.124437744,0.138696219,0.149346076,0.157915311,0.165109876,0.171318746,0.005658622,0.008930519,0.011792103,0.014415577,0.016872447,0.019201892,0.021428556,0.000243360,0.000454684,0.000681124,0.000921028,0.001172532,0.001434153,0.001704725,0.000008846,0.000018745,0.000031053,0.000045662,0.000062461,0.000081355,0.000102264
0.103408867,0.126247494,0.140700412,0.151490212,0.160167688,0.167449372,0.173730097,0.005825877,0.009193978,0.012139315,0.014839219,0.017367334,0.019764014,0.022054644,0.000254238,0.000474989,0.000711513,0.000962082,0.001224749,0.001497963,0.001780503,0.000009377,0.000019870,0.000032916,0.000048400,0.000066204,0.000086228,0.000108387
0.104900256,0.128056361,0.142703058,0.153632077,0.162417022,0.169785017,0.176136758,0.005995550,0.009461216,0.012491468,0.015268841,0.017869151,0.020333945,0.022689358,0.000265434,0.000495887,0.000742789,0.001004332,0.001278482,0.001563620,0.001858470,0.000009932,0.000021045,0.000034862,0.000051259,0.000070113,0.000091316,0.000114779
0.106391330,0.129864333,0.144704136,0.155771637,0.164663271,0.172116758,0.178538664,0.006167640,0.009732231,0.012848557,0.015704437,0.018377887,0.020911666,0.023332674,0.000276954,0.000517387,0.000774962,0.001047791,0.001333752,0.001631150,0.001938656,0.000010511,0.000022272,0.000036892,0.000054242,0.000074191,0.000096625,0.000121448
0.107882085,0.131671396,0.146703622,0.157908863,0.166906392,0.174444541,0.180935750,0.006342146,0.010007020,0.013210577,0.016145996,0.018893529,0.021497162,0.023984572,0.000288801,0.000539497,0.000808046,0.001092478,0.001390577,0.001700577,0.002021088,0.000011115,0.000023551,0.000039009,0.000057354,0.000078445,0.000102161,0.000128402
0.109372518,0.133477538,0.148701495,0.160043720,0.169146343,0.176768313,0.183327952,0.006519068,0.010285580,0.013577522,0.016593510,0.019416063,0.022090413,0.024645027,0.000300980,0.000562226,0.000842054,0.001138409,0.001448981,0.001771926,0.002105797,0.000011744,0.000024884,0.000041216,0.000060597,0.000082878,0.000107931,0.000135649
0.110862623,0.135282747,0.150697734,0.162176177,0.171383081,0.179088020,0.185715205,0.006698403,0.010567907,0.013949386,0.017046970,0.019945476,0.022691404,0.025314017,0.000313497,0.000585581,0.000876997,0.001185600,0.001508982,0.001845223,0.002192812,0.000012400,0.000026273,0.000043516,0.000063975,0.000087495,0.000113941,0.000143198
0.112352396,0.137087009,0.152692316,0.164306203,0.173616563,0.181403610,0.188097445,0.006880152,0.010853999,0.014326163,0.017506366,0.020481755,0.023300114,0.025991518,0.000326354,0.000609572,0.000912887,0.001234067,0.001570602,0.001920491,0.002282162,0.000013083,0.000027719,0.000045909,0.000067492,0.000092302,0.000120197,0.000151055
0.113841832,0.138890313,0.154685218,0.166433765,0.175846748,0.183715027,0.190474608,0.007064312,0.011143852,0.014707848,0.017971689,0.021024887,0.023916527,0.026677507,0.000339558,0.000634206,0.000949738,0.001283828,0.001633862,0.001997757,0.002373875,0.000013794,0.000029224,0.000048401,0.000071152,0.000097304,0.000126706,0.000159230
0.115330928,0.140692645,0.156676421,0.168558831,0.178073593,0.186022221,0.192846628,0.007250884,0.011437464,0.015094435,0.018442929,0.021574857,0.024540624,0.027371960,0.000353111,0.000659492,0.000987561,0.001334897,0.001698781,0.002077043,0.002467980,0.000014533,0.000030789,0.000050991,0.000074958,0.000102505,0.000133474,0.000167730
0.116819678,0.142493993,0.158665900,0.170681370,0.180297056,0.188325137,0.195213443,0.007439864,0.011734831,0.015485918,0.018920077,0.022131652,0.025172385,0.028074853,0.000367020,0.000685438,0.001026369,0.001387292,0.001765380,0.002158376,0.002564507,0.000015302,0.000032417,0.000053684,0.000078914,0.000107912,0.000140509,0.000176564
0.118308079,0.144294344,0.160653636,0.172801350,0.182517094,0.190623723,0.197574989,0.007631254,0.012035950,0.015882289,0.019403124,0.022695258,0.025811792,0.028786160,0.000381288,0.000712052,0.001066173,0.001441029,0.001833679,0.002241778,0.002663483,0.000016101,0.000034107,0.000056482,0.000083024,0.000113528,0.000147817,0.000185741
